Districts,Initial Latrines,Initial Household,Initial Population,Current Latrines,Current Household,Current Population
ce Chibombo District,20722,31963,174534,28543,35005,175856
ce Chisamba District,9398,15269,80763,9974,13987,76390
ce Chitambo District,3622,5877,32242,5294,6647,39076
ce Kapiri-Mposhi District,14217,17316,110826,16577,18228,112277
ce Luano DIstrict,2358,2704,16084,2317,3837,15830
ce Mkushi District,6344,10695,40403,7065,8767,43743
ce Mumbwa District,17608,23095,149065,23203,25320,167525
ce Ngabwe District,1107,1202,6575,898,1051,6046
ce Serenje District,10476,13084,68706,11698,12166,64339
co Lufwanyama District,2907,4652,24245,3837,5403,29000
co Masaiti District,4109,5738,28261,4947,6358,32366
co Mpongwe District,3752,4653,25887,4717,5532,27838
ea Chadiza District,8537,13359,171768,8357,14365,83989
ea Chipata District,12628,20796,99132,13743,22993,101113
ea Katete District,8053,18893,97008,12971,18925,100736
ea Lundazi District,15938,27932,133673,22144,27744,136344
ea Mambwe District,6232,9360,49041,7420,10242,53091
ea Nyimba District,10414,12787,64641,11394,13605,68400
ea Petauke District,9755,15824,88540,14097,16307,90119
ea Sinda District,9666,16947,83765,16253,18496,97221
ea Vubwi DIstrict,6124,8906,47144,6160,9249,48607
ls Chilanga District,3788,5574,26268,4991,6759,35497
ls Chongwe District,13696,19152,101060,17126,23918,127837
ls Kafue District,5061,7432,37557,5040,7491,57316
ls Rufunsa District,6278,7977,33659,7355,9757,43739
ls Shibuyunji District,6809,9694,58860,8732,9544,61320
lu Chembe District,2304,3404,17677,2719,4093,18155
lu Chiengi District,17941,21739,111874,34658,34580,181914
lu Chipili District,1605,1992,10879,1983,2569,13524
lu Kawambwa District,9091,13687,54162,12032,12287,66292
lu Lunga District,1861,3332,16056,3195,3644,16259
lu Mansa District,9428,12073,59202,12877,15030,76958
lu Milenge District,2832,3905,22343,3846,5377,30445
lu Mwansabombwe District,6972,7854,40573,7457,8410,46665
lu Mwense District,13363,17625,87272,19116,18951,109759
lu Nchelenge District,26046,35370,162580,33772,37930,188809
lu Samfya District,19836,26603,130326,24559,27175,140439
mu Chinsali District,4843,8264,37276,6581,9923,39588
mu Isoka District,9191,13384,64125,13072,18174,81793
mu Mafinga District,960,968,4744,1116,1072,5646
mu Mpika District,11647,19196,78688,9339,12771,66114
mu Shiwang’andu District,4657,6271,30181,4989,6336,30572
no Kaputa District,10494,12440,62178,11538,13892,68205
no Kasama District,20495,30123,129054,25682,30037,137046
no Luwingu District,14380,18785,98442,17646,19632,102185
no Mbala District,17975,29155,103756,19520,22891,110802
no Mporokoso District,12377,13897,70296,12676,13454,70738
no Mungwi District,13375,17210,90065,16113,18911,86790
no Nsama District,7985,10285,52336,11824,12783,63600
nw Ikelenge District,2206,2992,17240,2853,3430,21398
nw Kasempa District,4639,5621,40264,4860,5611,31638
nw Mwinilunga District,4653,6912,38620,5472,7483,42250
nw Solwezi District,2976,5352,23623,3815,4898,27036
so Chikankata District,9235,12515,69721,8819,11272,63701
so Choma District,18161,24254,151813,21970,25146,160538
so Gwembe District,2969,7663,41421,4937,8830,47465
so Kalomo District,14714,22034,133474,17202,22725,147490
so Kazungula District,8531,16427,87777,12674,17856,97101
so Mazabuka District,10239,17892,90021,12050,19188,94920
so Monze District,16921,25495,160502,19075,24961,164424
so Namwala District,11604,16529,99206,13048,18266,99722
so Pemba District,6884,10063,63304,10111,11951,76545
so Siavonga District,615,1315,6527,619,1323,6498
so Sinazongwe District,4870,16622,87729,6912,17073,94677
so Zimba District,6916,15319,71111,12335,14454,123763
we Mongu District,843,1517,7421,837,1503,7386
